peptide_id,source,length,score,label,avg_ep,max_ep,max_lin_ep
657323,legacy_uniprot_all_2021,29,0.23766495,Epitope,0.2377,0.3195,0.2733
657324,legacy_uniprot_all_2021,29,0.23005724,Epitope,0.2301,0.3424,0.2783
657325,legacy_uniprot_all_2021,30,0.19596031,Epitope,0.196,0.2865,0.2383
657326,legacy_uniprot_all_2021,21,0.22286025,Epitope,0.2229,0.3061,0.2673
657328,legacy_uniprot_all_2021,30,0.24203806,Epitope,0.242,0.3207,0.2762
657329,legacy_uniprot_all_2021,27,0.26253873,Epitope,0.2625,0.3624,0.2952
657330,legacy_uniprot_all_2021,30,0.26128313,Epitope,0.2613,0.3556,0.3053
657331,legacy_uniprot_all_2021,29,0.3023763,Epitope,0.3024,0.3737,0.3457
657332,legacy_uniprot_all_2021,29,0.28400272,Epitope,0.284,0.3441,0.3066
657334,legacy_uniprot_all_2021,30,0.19606562,Epitope,0.1961,0.2752,0.233
657335,legacy_uniprot_all_2021,29,0.24485376,Epitope,0.2449,0.3109,0.2685
657338,legacy_uniprot_all_2021,30,0.20240399,Epitope,0.2024,0.2909,0.2396
657339,legacy_uniprot_all_2021,30,0.1657138,Epitope,0.1657,0.2785,0.2091
657340,legacy_uniprot_all_2021,30,0.30530128,Epitope,0.3053,0.371,0.3319
657342,legacy_uniprot_all_2021,24,0.19799076,Epitope,0.198,0.2892,0.231
